Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Investor Names
Seed Round - DeepView,https://www.crunchbase.com/funding_round/deepview-seed--b8587288,DeepView,https://www.crunchbase.com/organization/deepview,Seed,,,,2018-09-10,CyLon
Series B - IoTium,https://www.crunchbase.com/funding_round/iotium-series-b--2f1513fa,IoTium,https://www.crunchbase.com/organization/iotium,Series B,13600000,USD,13600000,2018-09-19,"GE Ventures, Hanna Ventures, Honeywell Venture Capital, JC2 Ventures, Juniper Ventures, March Capital Partners"
Series B - Sepio Systems,https://www.crunchbase.com/funding_round/sepio-systems-series-b--8197b25e,Sepio Systems,https://www.crunchbase.com/organization/sepio-systems,Series B,,,,2019-03-27,Plug and Play
Seed Round - Kogniz,https://www.crunchbase.com/funding_round/kogniz-seed--a7ca2911,Kogniz,https://www.crunchbase.com/organization/kogniz,Seed,4000000,USD,4000000,2018-10-16,"Auren Hoffman, The Entrepreneurs' Fund, Tom Chavez"
Debt Financing - Keezel,https://www.crunchbase.com/funding_round/keezel-debt-financing--048e4022,Keezel,https://www.crunchbase.com/organization/keezel,Debt Financing,350000,EUR,408396,2018-06-01,ABN AMRO Bank
Venture Round - Seacom,https://www.crunchbase.com/funding_round/seacom-series-unknown--daf3fbd8,Seacom,https://www.crunchbase.com/organization/seacom,Venture - Series Unknown,,,,2017-12-01,Investec Asset Management
Venture Round - Garrison Technology,https://www.crunchbase.com/funding_round/garrison-technology-series-unknown--067f1ce3,Garrison Technology,https://www.crunchbase.com/organization/garrison-technology,Venture - Series Unknown,,,,2017-12-08,
Equity Crowdfunding - Keezel,https://www.crunchbase.com/funding_round/keezel-equity-crowdfunding--53f036bf,Keezel,https://www.crunchbase.com/organization/keezel,Equity Crowdfunding,767158,USD,767158,2017-07-31,StartEngine
Series B - 360 Enterprise Security Group,https://www.crunchbase.com/funding_round/360-enterprise-security-group-series-b--c3a10029,360 Enterprise Security Group,https://www.crunchbase.com/organization/360-enterprise-security-group,Series B,900000000,CNY,131326757,2019-01-08,
Series B - Zhizhangyi,https://www.crunchbase.com/funding_round/zhizhangyi-series-b--7fdda8eb,Zhizhangyi,https://www.crunchbase.com/organization/zhizhangyi,Series B,200000000,CNY,28914687,2018-10-15,"Apple Funds, Chang¡'an Capital, Gaocheng Capital"
Pre Seed Round - Stagira,https://www.crunchbase.com/funding_round/stagira-pre-seed--446c97c7,Stagira,https://www.crunchbase.com/organization/stagira,Pre-Seed,20000,USD,20000,2018-09-24,ICONYC labs
Seed Round - Beetles Cyber Security Ltd.,https://www.crunchbase.com/funding_round/beetles-seed--b7b2feeb,Beetles Cyber Security Ltd.,https://www.crunchbase.com/organization/beetles,Seed,20000000,BDT,237853,2019-03-13,BD Ventures
